"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","7040","0","16384","4","0","0","-9187343239835811840","15191","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","584","32368","Vector-Sigma","S-1-5-18","3/30/2025 3:30:21 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The system time has changed to ‎2025‎-‎03‎-‎30T20:29:19.743725300Z from ‎2025‎-‎03‎-‎30T20:29:19.743081300Z.
Time Delta: 0 ms

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 20352).

RTC time: ‎2025‎-‎03‎-‎30T15:29:19.743725300Z
Current time zone bias: 300
RTC time is in UTC: false
System time was based on RTC time: false","1","4",,"4","5","0","-9223372036854775792","15190","Microsoft-Windows-Kernel-General","a68ca8b7-004f-d7b6-a698-07e2de0f1f5d","System","20352","20388","Vector-Sigma","S-1-5-19","3/30/2025 3:29:19 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The hardware real-time clock was not set because evaluation of the ACPI Time and Alarm Device method failed.  Status: 0xC00000BB.","21","0",,"2","0","0","-9223372036854775808","15189","Microsoft-Windows-HAL","63d1e632-95cc-4443-9312-af927761d52a","System","20352","20388","Vector-Sigma","S-1-5-19","3/30/2025 3:29:19 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The hardware real-time clock was not queried because evaluation of the ACPI Time and Alarm Device method failed.  Status: 0xC00000BB.","20","0",,"2","0","0","-9223372036854775808","15188","Microsoft-Windows-HAL","63d1e632-95cc-4443-9312-af927761d52a","System","20352","20388","Vector-Sigma","S-1-5-19","3/30/2025 3:29:19 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The time zone information was refreshed with exit reason 0. Current time zone bias is 300.","24","0",,"4","11","0","-9223372036854775792","15187","Microsoft-Windows-Kernel-General","a68ca8b7-004f-d7b6-a698-07e2de0f1f5d","System","20352","20388","Vector-Sigma","S-1-5-19","3/30/2025 3:29:19 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The system time has changed to ‎2025‎-‎03‎-‎30T20:29:19.742221900Z from ‎2025‎-‎03‎-‎30T20:29:20.858487900Z.
Time Delta: -1116 ms

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 20352).

RTC time: ‎2025‎-‎03‎-‎30T15:29:19.742221900Z
Current time zone bias: 300
RTC time is in UTC: false
System time was based on RTC time: false","1","4",,"4","5","0","-9223372036854775792","15186","Microsoft-Windows-Kernel-General","a68ca8b7-004f-d7b6-a698-07e2de0f1f5d","System","20352","20388","Vector-Sigma","S-1-5-19","3/30/2025 3:29:19 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The hardware real-time clock was not set because evaluation of the ACPI Time and Alarm Device method failed.  Status: 0xC00000BB.","21","0",,"2","0","0","-9223372036854775808","15185","Microsoft-Windows-HAL","63d1e632-95cc-4443-9312-af927761d52a","System","20352","20388","Vector-Sigma","S-1-5-19","3/30/2025 3:29:19 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The hardware real-time clock was not queried because evaluation of the ACPI Time and Alarm Device method failed.  Status: 0xC00000BB.","20","0",,"2","0","0","-9223372036854775808","15184","Microsoft-Windows-HAL","63d1e632-95cc-4443-9312-af927761d52a","System","20352","20388","Vector-Sigma","S-1-5-19","3/30/2025 3:29:19 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The time zone information was refreshed with exit reason 0. Current time zone bias is 300.","24","0",,"4","11","0","-9223372036854775792","15183","Microsoft-Windows-Kernel-General","a68ca8b7-004f-d7b6-a698-07e2de0f1f5d","System","20352","20388","Vector-Sigma","S-1-5-19","3/30/2025 3:29:19 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The start type of the McAfee Scheduled Task - (McAfee-Dynamicappdownloader) service was changed from demand start to disabled.","7040","0","16384","4","0","0","-9187343239835811840","15182","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","584","29832","Vector-Sigma","S-1-5-18","3/30/2025 3:29:06 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
